utterance_id,room_x,room_y,room_z,micL_x,micL_y,micR_x,micR_y,mic_z,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,T60
445c0206_0.60431_22gc0105_-0.60431.wav,5.83651122743679,6.6110890844828845,3.092753198327738,2.716694351569521,3.226317129678222,2.8416379795402418,3.111038815024016,1.063949886859429,3.1571607573778,4.007430345958436,1.5071636223998468,3.261539402086396,4.615766476958414,0.907737664801226,1.3830389007577846
420c020h_1.1139_442c0203_-1.1139.wav,9.888189636775358,9.413381871957023,3.790688511769028,4.960187862256413,4.593078180766742,5.1037828750253365,4.502081080220117,1.46321432019605,6.510453664940441,3.8537545515939335,1.5716994534487938,5.9924196607071165,3.0991425833833235,1.3735038811155853,2.2442175420796637
22go0107_0.079969_051c010u_-0.079969.wav,6.230462449866412,6.646566842974958,3.8856903413972894,3.2083592702571595,3.347449621534416,3.1365858720520823,3.2044510924857037,0.9647349213338506,3.693154000408928,5.165055353928157,1.341320264512672,4.36136387005525,1.747276643480501,1.5470010812316868,1.875455478014229
444o0314_2.1819_053o020e_-2.1819.wav,6.010885559027831,5.319660813459231,3.077994729438833,2.8999782589433742,2.5732523595212218,2.7896382580551333,2.4716399380168466,1.4562665400254768,2.9520943908459216,1.5546074588023695,1.128541947609789,4.705249357238325,3.0702888638811583,1.1075249302572614,2.5707171674275386
423o0304_1.419_420c020x_-1.419.wav,7.503709328712537,5.6818489138855135,3.0257161438716618,3.927946253120408,2.6902798487632933,3.75841622893583,2.677647711177895,1.091565722057815,2.585650261480556,1.7260450099539453,1.5257983475071522,2.2678263577848874,3.635385632666128,1.36003052163506,2.559951616237607
423o030b_1.4753_053o0209_-1.4753.wav,6.632820913429361,9.35586139642673,3.3453241612432225,3.3966112997902886,4.8161431471876375,3.2844703405294626,4.688376151229912,1.1725231693958635,4.588772032228441,4.43896767520827,1.024147498962165,4.6838820087761865,5.18474723147712,1.1214661399287216,1.5451852105652832
441o030o_1.9903_445c020y_-1.9903.wav,6.371569053959076,8.584448953135054,3.0524229290265983,3.0594403691103764,4.376608059909767,3.057718467056945,4.546599339254675,1.179379979344707,4.4350497111961715,3.808486073104631,1.1493702966365922,4.124624612419532,3.465075756008839,1.1213582096438923,1.5529285102861934
22ga010u_0.43921_443o030l_-0.43921.wav,7.211039280798397,8.355720144201241,3.184551482968449,3.6177057897658873,4.094306340878061,3.616910911486397,4.244304234758344,1.3772019125805477,5.284405495171178,5.137406681797789,1.2507277965346932,4.260819060032064,2.4195490437139853,1.5373456815759003,2.6037443550700385
444o030e_0.90493_443o0304_-0.90493.wav,7.955568012291902,5.923909623789352,3.952721833960376,3.739248589263984,2.832711643986064,3.8846530355955964,2.7958667394944334,1.1843199421223205,4.021674530654397,1.9720119232046387,1.4199105500386524,5.3194115470376895,3.9974037872381887,1.4045055255398389,2.91627870736741
440c0209_1.2048_421a0104_-1.2048.wav,8.625074458778473,9.446344953373599,3.850053563484312,4.249020189126438,4.724172321083695,4.230707422262529,4.893183097573799,1.10798853062539,2.7934481860029967,5.012287284617687,1.6849715701093635,3.1580327185571737,4.663800767808254,1.760375773311043,2.751865269484189
445c020u_0.78863_443o030p_-0.78863.wav,8.061804855665038,9.547365671932992,3.771729831156692,3.8900465669604585,4.787341268517517,3.8016186223807433,4.653997732425935,1.7097462305111963,2.0982223490055336,3.9788237592379314,1.0483948958754286,3.6279585281709337,4.009618205543152,1.4821399658004584,1.7156345399157333
440c020t_2.1632_053o020y_-2.1632.wav,7.3865110981162445,9.00233020206119,3.619101163478705,3.694457123524328,4.54542837130927,3.6317792675976017,4.6817056121693215,1.5448610108637535,4.889888404472052,5.729255966166813,1.6298920895400446,4.591051095154424,3.8960326554984417,0.9997208492377834,2.0019902510469176
440c0213_1.7151_441o030b_-1.7151.wav,5.57387168782572,5.732596333621527,3.169545209668004,2.991229916527532,2.7527686259456865,2.8425004466357167,2.733286716755368,0.9359791163125822,4.126494209089833,4.308064346659026,1.4842722649955808,4.869526536129252,2.8317463588359137,1.0100316969763157,2.3669258703442724
052a0513_1.7991_053a050f_-1.7991.wav,7.454652487085623,5.1674999628171205,3.6321376674046095,3.803222509072589,2.3761632892476956,3.736941937995312,2.5327100423206046,1.5164091245025224,4.430408706287938,2.5380889750357376,1.2965297976163443,2.2330405217396403,3.2480674765443776,0.9574373912061388,2.4254040539658
22gc0112_0.36454_445c0207_-0.36454.wav,6.086327368212398,7.766367254913758,3.712406628837842,3.1998639038988412,4.0455814619121915,3.2219339146778307,3.8972139633681526,0.9231978638494958,3.910570728710113,4.417561310970802,1.4025109864601517,2.5297246596314706,3.5985768166340515,1.771295251524497,1.7405015095807899
421c020x_2.4971_444c020n_-2.4971.wav,7.870433666335659,5.056806531877588,3.533961244918884,4.058051587075656,2.4804008930801817,4.175412498188097,2.5738161838138622,1.6984479296468895,5.058317235751853,3.98376587206039,1.7760844768240038,3.7359768920496053,3.2376194490514063,1.5691838208681488,2.12239237213125
